Wall time,Step,Value
1680529926.471341,4,2.0
1680529937.7171917,14,2.0
1680529938.8618174,15,2.0
1680529942.2344954,18,2.0
1680529943.3464313,19,2.0
1680529951.2522707,26,2.0
1680529952.3689036,27,2.0
1680529966.980677,40,2.0
1680529975.132656,47,2.0
1680529976.2472553,48,2.0
1680529977.4157677,49,2.0
1680529983.2643962,54,2.0
1680529992.266536,62,2.0
1680529993.3743067,63,2.0
1680529996.7867932,66,2.0
1680529997.918816,67,2.0
1680530001.3140063,70,2.0
1680530002.4411879,71,2.0
1680530009.1616952,77,2.0
1680530014.9426968,82,2.0
1680530023.0511098,89,2.0
1680530034.4325287,99,2.0
1680530039.3019059,103,2.0
1680530043.9619753,107,2.0
1680530059.736761,121,2.0
1680530064.2071197,125,2.0
1680530065.335623,126,2.0
1680530067.626463,128,2.0
1680530069.8598413,130,2.0
1680530076.6380193,136,2.0
1680530085.5804338,144,2.0
1680530087.8565366,146,2.0
1680530088.9701893,147,2.0
1680530092.329559,150,2.0
1680530100.2303827,157,2.0
1680530103.669997,160,2.0
1680530105.9704387,162,2.0
1680530108.2453232,164,2.0
1680530116.3628566,171,2.0
1680530117.499983,172,2.0
1680530123.2126482,177,2.0
1680530131.1010327,184,2.0
1680530132.1993153,185,2.0
1680530138.9899814,191,2.0
1680530140.1362026,192,2.0
1680530152.9620798,203,2.0
1680530155.2453697,205,2.0
1680530164.4061599,213,2.0
1680530166.654551,215,2.0
1680530176.905156,224,2.0
1680530182.7823582,229,2.0
1680530200.2826655,244,2.0
1680530201.4210126,245,2.0
1680530216.8932981,258,2.0
1680530218.06156,259,2.0
1680530219.2329597,260,2.0
1680530231.779837,271,2.0
1680530235.127998,274,2.0
1680530239.6767118,278,2.0
1680530244.1541328,282,2.0
1680530247.5109005,285,2.0
1680530251.053506,288,2.0
1680530253.3106334,290,2.0
1680530259.0161457,295,2.0
1680530261.294862,297,2.0
1680530262.4760675,298,2.0
1680530274.5414703,308,2.0
1680530279.5166867,312,2.0
1680530284.4160092,316,2.0
1680530286.8436646,318,2.0
1680530288.0365927,319,2.0
1680530291.6120172,322,2.0
1680530309.2971,337,2.0
1680530318.772175,345,2.0
1680530319.9359546,346,2.0
1680530334.0769722,358,2.0
1680530341.1324017,364,2.0
1680530342.2903175,365,2.0
1680530343.46336,366,2.0
1680530357.673361,378,2.0
1680530367.0917506,386,2.0
1680530371.853838,390,2.0
1680530374.1975818,392,2.0
1680530380.1708548,397,2.0
1680530386.193043,402,2.0
1680530388.6392965,404,2.0
1680530402.1210177,415,2.0
1680530409.6777422,421,2.0
1680530410.8985584,422,2.0
1680530427.5847423,436,2.0
1680530428.7605977,437,2.0
1680530431.2366958,439,2.0
1680530437.2343209,444,2.0
1680530439.6841278,446,2.0
1680530447.031095,452,2.0
1680530451.9477077,456,2.0
1680530458.043537,461,2.0
1680530462.8345358,465,2.0
1680530466.459972,468,2.0
1680530468.8936076,470,2.0
1680530473.6945124,474,2.0
1680530474.9342594,475,2.0
1680530480.8027198,480,2.0
1680530481.9746292,481,2.0
1680530489.0350578,487,2.0
1680530497.1181622,494,2.0
1680530518.2584682,510,4.0
1680530520.6196916,512,4.0
1680530521.8203528,513,4.0
1680530523.0049157,514,4.0
1680530526.5141146,517,4.0
1680530528.879408,519,4.0
1680530545.6646621,533,4.0
1680530546.8377984,534,4.0
1680530549.1438482,536,4.0
1680530551.5100567,538,4.0
1680530553.778981,540,4.0
1680530558.3911934,544,4.0
1680530560.8016167,546,4.0
1680530565.3787694,550,4.0
1680530567.6549394,552,4.0
1680530572.2505407,556,4.0
1680530579.1309972,562,4.0
1680530581.4531484,564,4.0
1680530586.05297,568,4.0
1680530604.2606711,584,4.0
1680530605.3999999,585,4.0
1680530608.78895,588,4.0
1680530611.0514305,590,4.0
1680530615.6191185,594,4.0
1680530617.884804,596,4.0
1680530631.522581,608,4.0
1680530637.1909478,613,4.0
1680530638.341374,614,4.0
1680530647.5053651,622,4.0
1680530648.6445343,623,4.0
1680530654.3254519,628,4.0
1680530655.4595675,629,4.0
1680530660.0288823,633,4.0
1680530664.5698051,637,4.0
1680530671.4097831,643,4.0
1680530672.547727,644,4.0
1680530678.252055,649,4.0
1680530680.5192385,651,4.0
1680530688.5088384,658,4.0
1680530690.7748187,660,4.0
1680530698.7344327,667,4.0
